settlement_id,transaction_id,merchant_id,settled_amount,currency,settlement_status,settlement_timestamp
SET000023,TXN000023,MER005,3161.00,INR,SETTLED,2026-08-04T17:41:26+00:00
SET000024,TXN000024,MER003,3661.00,INR,SETTLED,2026-08-08T07:45:17+00:00
SET000025,TXN000025,MER002,5344.00,INR,SETTLED,2026-08-08T11:20:28+00:00
SET000026,TXN000026,MER001,824.00,INR,SETTLED,2026-08-02T07:37:54+00:00
SET000027,TXN000027,MER001,343.00,INR,SETTLED,2026-08-08T04:03:47+00:00
SET000028,TXN000028,MER002,584.00,INR,SETTLED,2026-08-02T17:28:27+00:00
SET000029,TXN000029,MER003,5887.00,INR,SETTLED,2026-08-02T16:39:58+00:00
SET000030,TXN000030,MER003,982.00,INR,SETTLED,2026-08-04T11:24:08+00:00
SET000031,TXN000031,MER002,287.00,INR,SETTLED,2026-08-02T22:57:26+00:00
SET000032,TXN000032,MER001,653.00,INR,SETTLED,2026-08-04T12:51:01+00:00
SET000033,TXN000033,MER004,318.00,INR,SETTLED,2026-08-03T22:57:14+00:00
SET000034,TXN000034,MER004,4215.00,INR,SETTLED,2026-08-07T12:12:35+00:00
SET000035,TXN000035,MER002,5958.00,INR,SETTLED,2026-08-08T01:55:32+00:00
SET000036,TXN000036,MER001,13238.00,INR,SETTLED,2026-08-03T09:51:20+00:00
SET000037,TXN000037,MER002,1278.00,INR,SETTLED,2026-08-03T15:55:10+00:00
SET000038,TXN000038,MER005,3536.00,INR,SETTLED,2026-08-08T23:38:03+00:00
SET000039,TXN000039,MER003,785.00,INR,SETTLED,2026-08-05T04:21:57+00:00
SET000040,TXN000040,MER003,423.00,INR,SETTLED,2026-08-07T19:29:07+00:00
SET000041,TXN000041,MER001,318.00,INR,SETTLED,2026-08-05T18:39:22+00:00
SET000042,TXN000042,MER003,13900.00,INR,SETTLED,2026-08-05T22:06:52+00:00
SET000043,TXN000043,MER005,1424.00,INR,SETTLED,2026-08-02T23:37:15+00:00
SET000044,TXN000044,MER003,719.00,INR,SETTLED,2026-08-05T07:53:27+00:00
SET000045,TXN000045,MER003,6512.00,INR,SETTLED,2026-08-06T22:22:31+00:00
SET000046,TXN000046,MER001,889.00,INR,SETTLED,2026-08-07T12:41:38+00:00
SET000047,TXN000047,MER005,7442.00,INR,SETTLED,2026-08-02T08:29:38+00:00
SET000048,TXN000048,MER004,142.00,INR,SETTLED,2026-08-06T01:13:10+00:00
SET000049,TXN000049,MER001,11658.00,INR,SETTLED,2026-08-03T15:01:00+00:00
SET000050,TXN000050,MER002,7938.00,INR,SETTLED,2026-08-06T00:45:21+00:00
SET000051,TXN000051,MER003,970.00,INR,SETTLED,2026-08-02T15:16:45+00:00
SET000052,TXN000052,MER002,7768.00,INR,SETTLED,2026-08-05T12:53:35+00:00
SET000053,TXN000053,MER002,2425.00,INR,SETTLED,2026-08-05T20:36:47+00:00
SET000054,TXN000054,MER001,4855.00,INR,SETTLED,2026-08-08T05:22:30+00:00
SET000055,TXN000055,MER005,980.00,INR,SETTLED,2026-08-04T22:05:03+00:00
SET000056,TXN000056,MER005,980.00,INR,SETTLED,2026-08-07T06:34:33+00:00
SET000057,TXN000057,MER003,9800.00,INR,SETTLED,2026-08-06T23:11:46+00:00
SET000058,TXN000058,MER002,970.00,INR,SETTLED,2026-08-02T05:29:33+00:00
SET000059,TXN000059,MER005,2427.50,INR,SETTLED,2026-08-06T20:37:28+00:00
SET000060,TXN000060,MER003,4900.00,INR,SETTLED,2026-08-05T20:28:30+00:00
SET000061,,MER003,11592.00,INR,SETTLED,2026-08-05T08:06:56+00:00
SET000062,,MER002,11211.00,INR,SETTLED,2026-08-03T21:41:20+00:00
SET000063,,MER005,3244.00,INR,SETTLED,2026-08-05T00:34:10+00:00
SET000064,,MER004,3484.00,INR,SETTLED,2026-08-07T01:40:46+00:00
SET000065,,MER002,7780.00,INR,SETTLED,2026-08-02T14:41:54+00:00
SET000066,,MER005,748.00,INR,SETTLED,2026-08-04T16:24:37+00:00
SET000067,,MER003,925.00,INR,SETTLED,2026-08-02T02:27:38+00:00
SET000068,,MER004,4147.00,INR,SETTLED,2026-08-06T20:42:52+00:00
SET000069,TXN_UNKNOWN_954496,MER001,10421.00,INR,SETTLED,2026-08-07T00:42:37+00:00
SET000070,TXN_UNKNOWN_975456,MER001,4411.00,INR,SETTLED,2026-08-01T14:41:20+00:00
SET000071,TXN_UNKNOWN_954921,MER004,1024.00,INR,SETTLED,2026-08-06T02:35:30+00:00
SET000072,TXN_UNKNOWN_963993,MER005,13947.00,INR,SETTLED,2026-08-04T01:14:11+00:00
SET000073,TXN_UNKNOWN_944057,MER002,379.00,INR,SETTLED,2026-08-06T02:15:46+00:00
SET000074,TXN000077,MER004,269.00,INR,SETTLED,2026-08-13T20:34:29+00:00
SET000075,TXN000078,MER004,677.00,INR,SETTLED,2026-08-14T13:50:33+00:00
SET000076,TXN000079,MER004,2065.00,INR,SETTLED,2026-08-16T22:39:01+00:00
SET000077,TXN000080,MER003,4603.00,INR,SETTLED,2026-08-16T11:47:22+00:00
SET000078,TXN000081,MER001,119.00,INR,SETTLED,2026-08-14T14:56:00+00:00
SET000079,TXN000082,MER001,767.00,INR,SETTLED,2026-08-09T19:04:04+00:00
SET000080,TXN000083,MER005,6000.00,INR,PARTIALLY_SETTLED,2026-08-04T16:28:52+00:00
SET000081,TXN000084,MER004,6000.00,INR,PARTIALLY_SETTLED,2026-08-03T18:19:06+00:00
SET000082,TXN000085,MER002,6000.00,INR,PARTIALLY_SETTLED,2026-08-05T04:38:10+00:00
SET000083,TXN000086,MER002,6000.00,INR,PARTIALLY_SETTLED,2026-08-03T05:21:36+00:00
SET000084,TXN000087,MER003,6000.00,INR,PARTIALLY_SETTLED,2026-08-02T07:28:45+00:00
SET000085,TXN000088,MER005,484.00,INR,SETTLED,2026-08-04T11:44:06+00:00
SET000086,TXN000088,MER005,484.00,INR,SETTLED,2026-08-04T12:44:06+00:00
SET000087,TXN000089,MER001,891.00,INR,SETTLED,2026-08-08T09:50:23+00:00
SET000088,TXN000089,MER001,891.00,INR,SETTLED,2026-08-08T10:50:23+00:00
SET000089,TXN000090,MER001,645.00,INR,SETTLED,2026-08-07T16:22:18+00:00
SET000090,TXN000090,MER001,645.00,INR,SETTLED,2026-08-07T17:22:18+00:00
SET000091,TXN000091,MER003,969.00,INR,SETTLED,2026-08-06T19:16:22+00:00
SET000092,TXN000091,MER003,969.00,INR,SETTLED,2026-08-06T20:16:22+00:00
SET000093,TXN000092,MER003,2883.00,INR,SETTLED,2026-08-03T16:18:12+00:00
SET000094,TXN000092,MER003,2883.00,INR,SETTLED,2026-08-03T17:18:12+00:00
SET000095,TXN000093,MER005,4000.00,INR,SETTLED,2026-08-08T09:45:15+00:00
SET000096,TXN000094,MER004,4000.00,INR,SETTLED,2026-08-05T03:10:33+00:00
SET000097,TXN000095,MER003,2000.00,INR,SETTLED,2026-08-02T22:14:32+00:00
SET000098,TXN000096,MER003,4000.00,INR,SETTLED,2026-08-04T20:01:49+00:00
SET000099,TXN000097,MER004,6000.00,INR,SETTLED,2026-08-06T11:23:19+00:00
SET000100,TXN000098,MER003,4000.00,INR,SETTLED,2026-08-05T19:40:02+00:00
SET000101,TXN000099,MER002,5000.00,INR,SETTLED,2026-08-04T10:47:03+00:00
SET000102,TXN000100,MER003,5000.00,INR,SETTLED,2026-08-05T00:15:02+00:00
SET000103,TXN000101,MER003,5000.00,INR,SETTLED,2026-08-05T05:28:08+00:00
SET000104,TXN000102,MER005,5000.00,INR,SETTLED,2026-08-08T03:28:42+00:00
SET000105,TXN000103,MER002,5000.00,INR,SETTLED,2026-08-04T19:18:00+00:00
SET000106,TXN000104,MER004,5000.00,INR,SETTLED,2026-08-08T14:42:24+00:00
SET000107,TXN000105,MER002,999.99,INR,SETTLED,2026-08-07T13:57:43+00:00
SET000108,TXN000106,MER004,1000.01,INR,SETTLED,2026-08-02T18:06:13+00:00
SET000109,TXN000107,MER003,999.99,INR,SETTLED,2026-08-04T13:52:03+00:00
SET000110,TXN000108,MER003,999.99,INR,SETTLED,2026-08-07T08:50:49+00:00
SET000111,TXN000109,MER005,999.99,INR,SETTLED,2026-08-06T18:56:13+00:00
SET000112,TXN000110,MER005,999.99,INR,SETTLED,2026-08-07T03:09:46+00:00
SET000113,,MER001,5000.00,INR,SETTLED,2026-08-01T19:04:00+00:00
SET000114,,MER001,5000.00,INR,SETTLED,2026-08-01T19:06:00+00:00
SET000115,,MER001,5000.00,INR,SETTLED,2026-08-01T19:04:00+00:00
SET000116,,MER001,5000.00,INR,SETTLED,2026-08-01T19:06:00+00:00
SET000117,,MER001,5000.00,INR,SETTLED,2026-08-01T19:04:00+00:00
SET000118,,MER001,5000.00,INR,SETTLED,2026-08-01T19:06:00+00:00
SET000119,,MER001,5000.00,INR,SETTLED,2026-08-01T19:04:00+00:00
SET000120,,MER001,5000.00,INR,SETTLED,2026-08-01T19:06:00+00:00
